packed_key,from_node_id,to_node_id,stage2_anchor_source,period,qvdf_start_speed_mph,qvdf_end_speed_mph,boundary_status
4294987562,1,20266,stage1_assignment_speed_mph,AM,16.9939,16.9861,both
4294987565,1,20269,stage1_assignment_speed_mph,AM,16.9745,16.94225,both
4294988895,1,21599,stage1_assignment_speed_mph,AM,17.0,17.0,both
8589954872,2,20280,stage1_assignment_speed_mph,AM,17.0,17.0,both
8589954881,2,20289,stage1_assignment_speed_mph,AM,16.9716,16.9652,both
8589954894,2,20302,stage1_assignment_speed_mph,AM,17.0,17.0,both
12884922221,3,20333,stage1_assignment_speed_mph,AM,16.9996,16.9994,both
17179890585,4,21401,stage1_assignment_speed_mph,AM,23.0,23.0,both
21474856810,5,20330,stage1_assignment_speed_mph,AM,16.9998,16.99945,both
25769824105,6,20329,stage1_assignment_speed_mph,AM,16.9976,16.9968,both
25769824108,6,20332,stage1_assignment_speed_mph,AM,16.9988,16.99835,both
30064792811,7,21739,stage1_assignment_speed_mph,AM,16.9998,16.9997,both
30064792812,7,21740,stage1_assignment_speed_mph,AM,16.9954,16.99315,both
34359758563,8,20195,stage1_assignment_speed_mph,AM,17.0,17.0,both
34359758614,8,20246,stage1_assignment_speed_mph,AM,16.9999,16.9998,both
38654725910,9,20246,stage1_assignment_speed_mph,AM,16.9997,16.99935,both
38654726014,9,20350,stage1_assignment_speed_mph,AM,16.9994,16.99845,both
38654727527,9,21863,stage1_assignment_speed_mph,AM,16.9993,16.9985,both
42949693286,10,20326,stage1_assignment_speed_mph,AM,16.9906,16.982,both
47244660262,11,20006,stage1_assignment_speed_mph,AM,16.9546,16.89825,both
51539627555,12,20003,stage1_assignment_speed_mph,AM,16.9802,16.95345,both
51539627601,12,20049,stage1_assignment_speed_mph,AM,16.9948,16.98345,both
55834594854,13,20006,stage1_assignment_speed_mph,AM,16.9998,16.99965,both
55834594912,13,20064,stage1_assignment_speed_mph,AM,16.9995,16.9992,both
55834595198,13,20350,stage1_assignment_speed_mph,AM,16.9991,16.99855,both
60129562205,14,20061,stage1_assignment_speed_mph,AM,16.9991,16.99785,both
60129562241,14,20097,stage1_assignment_speed_mph,AM,16.9943,16.9901,both
60129562670,14,20526,stage1_assignment_speed_mph,AM,16.9957,16.9931,both
64424529443,15,20003,stage1_assignment_speed_mph,AM,16.9957,16.99145,both
64424529501,15,20061,stage1_assignment_speed_mph,AM,16.9959,16.9918,both
64424529506,15,20066,stage1_assignment_speed_mph,AM,16.997,16.9924,both
68719496795,16,20059,stage1_assignment_speed_mph,AM,16.9975,16.9945,both
68719496833,16,20097,stage1_assignment_speed_mph,AM,16.9985,16.99705,both
73014464101,17,20069,stage1_assignment_speed_mph,AM,16.9467,16.9095,both
73014465660,17,21628,stage1_assignment_speed_mph,AM,16.9624,16.9344,both
77309431404,18,20076,stage1_assignment_speed_mph,AM,16.988,16.98045,both
77309432955,18,21627,stage1_assignment_speed_mph,AM,16.9932,16.9859,both
