packed_key,from_node_id,to_node_id,qvdf_start_speed_mph_am,qvdf_end_speed_mph_am,qvdf_start_speed_mph_md,qvdf_end_speed_mph_md,qvdf_start_speed_mph_pm,qvdf_end_speed_mph_pm,baseline_anchor_source,stage2_anchor_source,baseline_qvdf_start_speed_mph_am,stage1_assignment_qvdf_start_speed_mph_am,baseline_qvdf_end_speed_mph_am,stage1_assignment_qvdf_end_speed_mph_am,baseline_qvdf_start_speed_mph_md,stage1_assignment_qvdf_start_speed_mph_md,baseline_qvdf_end_speed_mph_md,stage1_assignment_qvdf_end_speed_mph_md,baseline_qvdf_start_speed_mph_pm,stage1_assignment_qvdf_start_speed_mph_pm,baseline_qvdf_end_speed_mph_pm,stage1_assignment_qvdf_end_speed_mph_pm
4294987562,1,20266,16.9939,16.9861,16.9861,16.9733,16.9733,16.9683,assignment,stage1_assignment_speed_mph,16.9912,16.9939,16.96135,16.9861,16.96135,16.9861,16.92725,16.9733,16.92725,16.9733,16.923,16.9683
4294987565,1,20269,16.9745,16.94225,16.94225,16.91315,16.91315,16.9163,assignment,stage1_assignment_speed_mph,16.9595,16.9745,16.83445,16.94225,16.83445,16.94225,16.75295,16.91315,16.75295,16.91315,16.7965,16.9163
4294988895,1,21599,17.0,17.0,17.0,17.0,17.0,17.0,assignment,stage1_assignment_speed_mph,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
8589954872,2,20280,17.0,17.0,17.0,17.0,17.0,17.0,assignment,stage1_assignment_speed_mph,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
8589954881,2,20289,16.9716,16.9652,16.9652,16.96705,16.96705,16.9753,assignment,stage1_assignment_speed_mph,16.9709,16.9716,16.95215,16.9652,16.95215,16.9652,16.9403,16.96705,16.9403,16.96705,16.9472,16.9753
8589954894,2,20302,17.0,17.0,17.0,17.0,17.0,17.0,assignment,stage1_assignment_speed_mph,17.0,17.0,16.97115,17.0,16.97115,17.0,16.97115,17.0,16.97115,17.0,17.0,17.0
12884922221,3,20333,16.9996,16.9994,16.9994,16.99835,16.99835,16.9975,assignment,stage1_assignment_speed_mph,16.9994,16.9996,16.99845,16.9994,16.99845,16.9994,16.9958,16.99835,16.9958,16.99835,16.9941,16.9975
17179890585,4,21401,23.0,23.0,23.0,23.0,23.0,23.0,assignment,stage1_assignment_speed_mph,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
21474856810,5,20330,16.9998,16.99945,16.99945,16.99915,16.99915,16.9992,assignment,stage1_assignment_speed_mph,16.9996,16.9998,16.99835,16.99945,16.99835,16.99945,16.9976,16.99915,16.9976,16.99915,16.9981,16.9992
25769824105,6,20329,16.9976,16.9968,16.9968,16.99345,16.99345,16.9909,assignment,stage1_assignment_speed_mph,16.9952,16.9976,16.99075,16.9968,16.99075,16.9968,16.9822,16.99345,16.9822,16.99345,16.9781,16.9909
25769824108,6,20332,16.9988,16.99835,16.99835,16.9964,16.9964,16.9949,assignment,stage1_assignment_speed_mph,16.9982,16.9988,16.99605,16.99835,16.99605,16.99835,16.9909,16.9964,16.9909,16.9964,16.9879,16.9949
30064792811,7,21739,16.9998,16.9997,16.9997,16.9997,16.9997,16.9998,assignment,stage1_assignment_speed_mph,16.9997,16.9998,16.99925,16.9997,16.99925,16.9997,16.9991,16.9997,16.9991,16.9997,16.9994,16.9998
30064792812,7,21740,16.9954,16.99315,16.99315,16.9928,16.9928,16.9947,assignment,stage1_assignment_speed_mph,16.9934,16.9954,16.9827,16.99315,16.9827,16.99315,16.98015,16.9928,16.98015,16.9928,16.9883,16.9947
34359758563,8,20195,17.0,17.0,17.0,17.0,17.0,17.0,assignment,stage1_assignment_speed_mph,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
34359758614,8,20246,16.9999,16.9998,16.9998,16.99975,16.99975,16.9998,assignment,stage1_assignment_speed_mph,16.9998,16.9999,16.99945,16.9998,16.99945,16.9998,16.99935,16.99975,16.99935,16.99975,16.9996,16.9998
38654725910,9,20246,16.9997,16.99935,16.99935,16.9992,16.9992,16.9994,assignment,stage1_assignment_speed_mph,16.9995,16.9997,16.9963,16.99935,16.9963,16.99935,16.996,16.9992,16.996,16.9992,16.9989,16.9994
38654726014,9,20350,16.9994,16.99845,16.99845,16.9979,16.9979,16.9983,assignment,stage1_assignment_speed_mph,16.9989,16.9994,16.9945,16.99845,16.9945,16.99845,16.9928,16.9979,16.9928,16.9979,16.9955,16.9983
38654727527,9,21863,16.9993,16.9985,16.9985,16.9978,16.9978,16.9979,assignment,stage1_assignment_speed_mph,16.9991,16.9993,16.99885,16.9985,16.99885,16.9985,16.99695,16.9978,16.99695,16.9978,16.9953,16.9979
42949693286,10,20326,16.9906,16.982,16.982,16.97715,16.97715,16.9809,assignment,stage1_assignment_speed_mph,16.9839,16.9906,16.9492,16.982,16.9492,16.982,16.93495,16.97715,16.93495,16.97715,16.9554,16.9809
47244660262,11,20006,16.9546,16.89825,16.89825,16.85285,16.85285,16.8638,assignment,stage1_assignment_speed_mph,16.9266,16.9546,16.70685,16.89825,16.70685,16.89825,16.56975,16.85285,16.56975,16.85285,16.6524,16.8638
51539627555,12,20003,16.9802,16.95345,16.95345,16.9301,16.9301,16.9335,assignment,stage1_assignment_speed_mph,16.9692,16.9802,16.8793,16.95345,16.8793,16.95345,16.81185,16.9301,16.81185,16.9301,16.8343,16.9335
51539627601,12,20049,16.9948,16.98345,16.98345,16.96905,16.96905,16.966,assignment,stage1_assignment_speed_mph,16.9902,16.9948,16.9383,16.98345,16.9383,16.98345,16.90575,16.96905,16.90575,16.96905,16.9251,16.966
55834594854,13,20006,16.9998,16.99965,16.99965,16.99965,16.99965,16.9998,assignment,stage1_assignment_speed_mph,16.9997,16.9998,16.99915,16.99965,16.99915,16.99965,16.999,16.99965,16.999,16.99965,16.9994,16.9998
55834594912,13,20064,16.9995,16.9992,16.9992,16.9991,16.9991,16.9993,assignment,stage1_assignment_speed_mph,16.9992,16.9995,16.99805,16.9992,16.99805,16.9992,16.99775,16.9991,16.99775,16.9991,16.9986,16.9993
55834595198,13,20350,16.9991,16.99855,16.99855,16.99845,16.99845,16.9989,assignment,stage1_assignment_speed_mph,16.9984,16.9991,16.9958,16.99855,16.9958,16.99855,16.9953,16.99845,16.9953,16.99845,16.9974,16.9989
60129562205,14,20061,16.9991,16.99785,16.99785,16.9965,16.9965,16.9964,assignment,stage1_assignment_speed_mph,16.9986,16.9991,16.9951,16.99785,16.9951,16.99785,16.99215,16.9965,16.99215,16.9965,16.9927,16.9964
60129562241,14,20097,16.9943,16.9901,16.9901,16.988,16.988,16.9901,assignment,stage1_assignment_speed_mph,16.9916,16.9943,16.9726,16.9901,16.9726,16.9901,16.96475,16.988,16.96475,16.988,16.9759,16.9901
60129562670,14,20526,16.9957,16.9931,16.9931,16.99205,16.99205,16.9936,assignment,stage1_assignment_speed_mph,16.9937,16.9957,16.98215,16.9931,16.98215,16.9931,16.9776,16.99205,16.9776,16.99205,16.9846,16.9936
64424529443,15,20003,16.9957,16.99145,16.99145,16.98715,16.98715,16.9871,assignment,stage1_assignment_speed_mph,16.9936,16.9957,16.97775,16.99145,16.97775,16.99145,16.96735,16.98715,16.96735,16.98715,16.9728,16.9871
64424529501,15,20061,16.9959,16.9918,16.9918,16.98815,16.98815,16.9886,assignment,stage1_assignment_speed_mph,16.9932,16.9959,16.9768,16.9918,16.9768,16.9918,16.967,16.98815,16.967,16.98815,16.9736,16.9886
64424529506,15,20066,16.997,16.9924,16.9924,16.9906,16.9906,16.9934,assignment,stage1_assignment_speed_mph,16.9947,16.997,16.9768,16.9924,16.9768,16.9924,16.9706,16.9906,16.9706,16.9906,16.9823,16.9934
68719496795,16,20059,16.9975,16.9945,16.9945,16.99125,16.99125,16.991,assignment,stage1_assignment_speed_mph,16.996,16.9975,16.98445,16.9945,16.98445,16.9945,16.97575,16.99125,16.97575,16.99125,16.9786,16.991
68719496833,16,20097,16.9985,16.99705,16.99705,16.99555,16.99555,16.9955,assignment,stage1_assignment_speed_mph,16.9977,16.9985,16.9918,16.99705,16.9918,16.99705,16.98845,16.99555,16.98845,16.99555,16.991,16.9955
73014464101,17,20069,16.9467,16.9095,16.9095,16.8939,16.8939,16.9155,assignment,stage1_assignment_speed_mph,16.9223,16.9467,16.7598,16.9095,16.7598,16.9095,16.6908,16.8939,16.6908,16.8939,16.7843,16.9155
73014465660,17,21628,16.9624,16.9344,16.9344,16.9178,16.9178,16.9292,assignment,stage1_assignment_speed_mph,16.9439,16.9624,16.8249,16.9344,16.8249,16.9344,16.76415,16.9178,16.76415,16.9178,16.8224,16.9292
77309431404,18,20076,16.988,16.98045,16.98045,16.9768,16.9768,16.9807,assignment,stage1_assignment_speed_mph,16.9833,16.988,16.9504,16.98045,16.9504,16.98045,16.93405,16.9768,16.93405,16.9768,16.9506,16.9807
77309432955,18,21627,16.9932,16.9859,16.9859,16.97995,16.97995,16.9813,assignment,stage1_assignment_speed_mph,16.9898,16.9932,16.9607,16.9859,16.9607,16.9859,16.94465,16.97995,16.94465,16.97995,16.9577,16.9813
77309433171,18,21843,16.9984,16.99505,16.99505,16.991,16.991,16.9903,assignment,stage1_assignment_speed_mph,16.9969,16.9984,16.9852,16.99505,16.9852,16.99505,16.97625,16.991,16.97625,16.991,16.979,16.9903
81604398701,19,20077,16.9882,16.9691,16.9691,16.96095,16.96095,16.9719,assignment,stage1_assignment_speed_mph,16.9773,16.9882,16.89415,16.9691,16.89415,16.9691,16.86975,16.96095,16.86975,16.96095,16.9285,16.9719
81604398703,19,20079,16.9727,16.96045,16.96045,16.9498,16.9498,16.9514,assignment,stage1_assignment_speed_mph,16.9633,16.9727,16.9095,16.96045,16.9095,16.96045,16.882,16.9498,16.882,16.9498,16.9083,16.9514
81604400248,19,21624,16.9773,16.9599,16.9599,16.95645,16.95645,16.9704,assignment,stage1_assignment_speed_mph,16.9672,16.9773,16.8989,16.9599,16.8989,16.9599,16.87275,16.95645,16.87275,16.95645,16.9149,16.9704
85899366445,20,20525,16.9743,16.9481,16.9481,16.93895,16.93895,16.956,assignment,stage1_assignment_speed_mph,16.9564,16.9743,16.83945,16.9481,16.83945,16.9481,16.79635,16.93895,16.79635,16.93895,16.8702,16.956
85899367348,20,21428,16.9522,16.91805,16.91805,16.89385,16.89385,16.9038,assignment,stage1_assignment_speed_mph,16.9364,16.9522,16.8009,16.91805,16.8009,16.91805,16.72255,16.89385,16.72255,16.89385,16.7797,16.9038
90194333299,21,20083,16.9738,16.9547,16.9547,16.9451,16.9451,16.9546,assignment,stage1_assignment_speed_mph,16.9619,16.9738,16.8845,16.9547,16.8845,16.9547,16.8506,16.9451,16.8506,16.9451,16.8941,16.9546
90194333742,21,20526,16.9385,16.89065,16.89065,16.8628,16.8628,16.8828,assignment,stage1_assignment_speed_mph,16.9106,16.9385,16.70535,16.89065,16.70535,16.89065,16.5962,16.8628,16.5962,16.8628,16.6923,16.8828
90194334823,21,21607,16.9872,16.97765,16.97765,16.96515,16.96515,16.9622,assignment,stage1_assignment_speed_mph,16.9807,16.9872,16.93695,16.97765,16.93695,16.97765,16.8997,16.96515,16.8997,16.96515,16.9062,16.9622
94489300576,22,20064,16.993,16.98425,16.98425,16.97275,16.97275,16.97,assignment,stage1_assignment_speed_mph,16.99,16.993,16.9549,16.98425,16.9549,16.98425,16.92045,16.97275,16.92045,16.97275,16.9211,16.97
94489300615,22,20103,16.9818,16.9658,16.9658,16.95195,16.95195,16.9541,assignment,stage1_assignment_speed_mph,16.976,16.9818,16.9072,16.9658,16.9072,16.9658,16.86555,16.95195,16.86555,16.95195,16.8927,16.9541
94489300750,22,20238,16.9783,16.95395,16.95395,16.927,16.927,16.9244,assignment,stage1_assignment_speed_mph,16.9639,16.9783,16.87245,16.95395,16.87245,16.95395,16.8001,16.927,16.8001,16.927,16.8192,16.9244
98784267919,23,20111,16.9673,16.9396,16.9396,16.91525,16.91525,16.9186,assignment,stage1_assignment_speed_mph,16.9511,16.9673,16.8436,16.9396,16.8436,16.9396,16.77165,16.91525,16.77165,16.91525,16.8072,16.9186
98784268322,23,20514,16.9734,16.9536,16.9536,16.94255,16.94255,16.9513,assignment,stage1_assignment_speed_mph,16.9616,16.9734,16.86955,16.9536,16.86955,16.9536,16.82385,16.94255,16.82385,16.94255,16.8702,16.9513
